Date,Open,High,Low,Close,Volume,Change
2022-09-16,9350,9370,9200,9250,73122,-0.012806830309498363
2022-09-19,9230,9270,8990,8990,122249,-0.028108108108108154
2022-09-20,9100,9640,9030,9080,209536,0.010011123470522909
2022-09-21,8980,9240,8980,9090,72951,0.0011013215859030367
2022-09-22,9090,9120,8810,8960,87654,-0.014301430143014326
2022-09-23,8980,8980,8770,8780,69787,-0.0200892857142857
2022-09-26,8600,8700,8230,8300,128348,-0.0546697038724373
2022-09-27,8130,8350,8090,8250,90677,-0.0060240963855421326
2022-09-28,8170,8460,8060,8170,132599,-0.009696969696969648
2022-09-29,8230,8500,8230,8400,75794,0.028151774785801775
2022-09-30,8170,8800,8170,8260,77293,-0.01666666666666672
2022-10-04,8360,8790,8360,8770,119552,0.06174334140435844
2022-10-05,8810,8920,8620,8650,63619,-0.013683010262257711
2022-10-06,8620,8840,8620,8780,39005,0.015028901734104094
2022-10-07,8770,8770,8620,8760,27788,-0.002277904328018221
2022-10-11,8650,8660,8450,8600,105504,-0.0182648401826484
2022-10-12,8570,8750,8570,8720,60733,0.013953488372093092
2022-10-13,8720,8720,8390,8400,77677,-0.03669724770642202
2022-10-14,8460,8710,8420,8650,62211,0.029761904761904656
2022-10-17,8540,8970,8530,8910,67863,0.03005780346820819
2022-10-18,8950,9080,8950,9030,66005,0.013468013468013407
2022-10-19,9040,9080,8900,8950,38894,-0.008859357696566983
2022-10-20,8940,9020,8890,8900,28700,-0.005586592178770999
2022-10-21,8870,8930,8800,8810,26012,-0.010112359550561778
